OBJECTID,COUNTYFP10,BLKGRPCE10,GEOID10,NAMELSAD10,POPULATION,HOUSING_UN,NAME10
8,001,3,100010432023,Block Group 3,976,571,432.02
9,001,2,100010432022,Block Group 2,659,320,432.02
10,001,4,100010432024,Block Group 4,1000,433,432.02
11,001,1,100010405021,Block Group 1,713,300,405.02
12,001,2,100010405022,Block Group 2,1268,611,405.02
13,001,1,100010417011,Block Group 1,1813,779,417.01
14,001,3,100010433003,Block Group 3,1730,685,433
15,001,2,100010433002,Block Group 2,1820,588,433
16,001,1,100010433001,Block Group 1,2581,470,433
17,001,2,100010434002,Block Group 2,2772,1175,434
18,001,2,100010431002,Block Group 2,1647,648,431
1,001,1,100010434001,Block Group 1,1374,577,434
2,001,2,100010405012,Block Group 2,2574,1076,405.01
3,001,1,100010405011,Block Group 1,2349,1003,405.01
4,001,1,100010432021,Block Group 1,1155,620,432.02
5,001,2,100010417012,Block Group 2,3985,1658,417.01
6,001,1,100010402011,Block Group 1,2666,1013,402.01
7,001,2,100010402012,Block Group 2,2375,1010,402.01
29,001,1,100010418021,Block Group 1,3478,1405,418.02
30,001,2,100010418022,Block Group 2,1725,649,418.02
36,001,1,100010431001,Block Group 1,983,399,431
37,001,2,100010414002,Block Group 2,1309,533,414
38,001,1,100010414001,Block Group 1,2339,1095,414
31,001,1,100010425001,Block Group 1,1467,564,425
32,001,2,100010425002,Block Group 2,1988,926,425
33,001,1,100010401001,Block Group 1,2637,932,401
34,001,2,100010401002,Block Group 2,2174,849,401
35,001,3,100010401003,Block Group 3,1730,688,401
19,001,3,100010430003,Block Group 3,1535,621,430
20,001,1,100010430001,Block Group 1,1737,774,430
21,001,2,100010430002,Block Group 2,1954,832,430
22,001,2,100010429002,Block Group 2,2560,1017,429
23,001,1,100010429001,Block Group 1,2234,907,429
24,001,1,100010428001,Block Group 1,2012,817,428
25,001,1,100010402031,Block Group 1,3550,1451,402.03
26,001,2,100010402032,Block Group 2,1467,571,402.03
27,001,1,100010402021,Block Group 1,4662,1712,402.02
28,001,2,100010402022,Block Group 2,8101,3039,402.02
59,001,2,100010418012,Block Group 2,2927,1086,418.01
60,001,1,100010421001,Block Group 1,1618,722,421
61,001,2,100010421002,Block Group 2,2241,880,421
62,003,1,100030108001,Block Group 1,1118,511,108
39,001,1,100010413001,Block Group 1,2068,1073,413
40,001,2,100010412002,Block Group 2,2397,1009,412
41,001,1,100010412001,Block Group 1,1809,736,412
42,001,2,100010411002,Block Group 2,1073,259,411
43,001,2,100010428002,Block Group 2,2779,1198,428
44,001,3,100010428003,Block Group 3,2294,957,428
45,001,1,100010422011,Block Group 1,4261,1630,422.01
46,001,2,100010422012,Block Group 2,3043,1075,422.01
47,001,3,100010422013,Block Group 3,2462,974,422.01
48,001,1,100010409001,Block Group 1,2561,1211,409
49,001,3,100010407003,Block Group 3,1649,800,407
50,001,2,100010407002,Block Group 2,1449,546,407
51,001,1,100010407001,Block Group 1,1726,740,407
52,001,1,100010419001,Block Group 1,2891,1105,419
53,001,2,100010419002,Block Group 2,2385,932,419
54,001,1,100010417021,Block Group 1,2378,875,417.02
55,001,2,100010417022,Block Group 2,1838,696,417.02
56,001,1,100010416001,Block Group 1,2089,899,416
57,001,2,100010415002,Block Group 2,1249,485,415
58,001,1,100010415001,Block Group 1,2626,1131,415
81,001,1,100010411001,Block Group 1,2667,888,411
82,001,2,100010410002,Block Group 2,3500,1551,410
83,001,1,100010410001,Block Group 1,2495,1168,410
89,003,3,100030119003,Block Group 3,972,359,119
90,003,2,100030119002,Block Group 2,867,381,119
91,003,1,100030126001,Block Group 1,1019,369,126
92,003,2,100030126002,Block Group 2,848,338,126
84,001,3,100010422023,Block Group 3,2312,900,422.02
85,001,2,100010422022,Block Group 2,4056,1612,422.02
86,001,1,100010422021,Block Group 1,2489,896,422.02
87,001,3,100010418013,Block Group 3,3014,1315,418.01
88,001,1,100010418011,Block Group 1,3692,1451,418.01
63,003,1,100030148051,Block Group 1,1548,562,148.05
64,003,2,100030148052,Block Group 2,2660,987,148.05
65,003,4,100030148054,Block Group 4,3516,1167,148.05
66,003,3,100030148053,Block Group 3,2491,749,148.05
67,003,4,100030148084,Block Group 4,736,292,148.08
68,003,1,100030148081,Block Group 1,1402,503,148.08
69,003,2,100030148082,Block Group 2,1371,553,148.08
70,003,3,100030148083,Block Group 3,2809,1247,148.08
71,001,1,100010420001,Block Group 1,1338,510,420
72,001,2,100010420002,Block Group 2,1835,710,420
73,003,2,100030110002,Block Group 2,1088,398,110
74,003,3,100030110003,Block Group 3,1070,444,110
75,003,1,100030110001,Block Group 1,1005,439,110
76,003,3,100030109003,Block Group 3,649,292,109
77,003,2,100030109002,Block Group 2,1209,487,109
78,003,1,100030109001,Block Group 1,887,359,109
79,003,3,100030108003,Block Group 3,913,412,108
80,003,2,100030108002,Block Group 2,2600,1128,108
125,003,1,100030166081,Block Group 1,1861,623,166.08
126,003,4,100030149094,Block Group 4,1209,549,149.09
127,003,3,100030149093,Block Group 3,884,308,149.09
128,003,1,100030149091,Block Group 1,2119,738,149.09
93,003,3,100030126003,Block Group 3,909,395,126
94,003,1,100030138001,Block Group 1,2248,884,138
95,003,2,100030138002,Block Group 2,894,306,138
96,003,3,100030138003,Block Group 3,2322,1065,138
97,003,2,100030026002,Block Group 2,1114,427,26
98,003,4,100030026004,Block Group 4,874,331,26
99,003,2,100030104002,Block Group 2,1092,492,104
100,003,3,100030104003,Block Group 3,1935,919,104
101,003,1,100030104001,Block Group 1,640,281,104
102,003,4,100030104004,Block Group 4,823,336,104
103,003,3,100030103003,Block Group 3,224,95,103
104,003,2,100030103002,Block Group 2,1577,599,103
105,003,1,100030103001,Block Group 1,1060,435,103
106,003,1,100030154001,Block Group 1,1237,444,154
107,003,2,100030154002,Block Group 2,1953,675,154
108,003,2,100030102002,Block Group 2,891,344,102
109,003,1,100030102001,Block Group 1,1091,422,102
110,003,1,100030101011,Block Group 1,816,310,101.01
111,003,3,100030101013,Block Group 3,1702,1043,101.01
112,003,2,100030101012,Block Group 2,2055,856,101.01
113,003,3,100030129003,Block Group 3,1362,571,129
114,003,2,100030129002,Block Group 2,1201,582,129
115,003,1,100030129001,Block Group 1,2157,864,129
116,003,3,100030136123,Block Group 3,1999,852,136.12
117,003,2,100030136122,Block Group 2,1587,593,136.12
118,003,1,100030136121,Block Group 1,2574,815,136.12
119,003,3,100030136133,Block Group 3,1887,805,136.13
120,003,2,100030136132,Block Group 2,2392,904,136.13
121,003,1,100030136131,Block Group 1,1247,488,136.13
122,003,1,100030168011,Block Group 1,3977,1278,168.01
123,003,2,100030168012,Block Group 2,1770,656,168.01
124,003,1,100030119001,Block Group 1,1499,581,119
154,003,2,100030023002,Block Group 2,936,366,23
155,003,1,100030023001,Block Group 1,1045,337,23
156,003,1,100030022001,Block Group 1,1449,516,22
157,003,3,100030022003,Block Group 3,912,304,22
158,003,2,100030022002,Block Group 2,910,266,22
159,003,2,100030021002,Block Group 2,903,473,21
160,003,1,100030021001,Block Group 1,944,464,21
161,003,1,100039801001,Block Group 1,0,0,9801
162,003,3,100030029003,Block Group 3,1049,748,29
163,003,4,100030029004,Block Group 4,944,367,29
164,003,1,100030029001,Block Group 1,793,364,29
165,003,2,100030029002,Block Group 2,784,249,29
179,005,2,100050507062,Block Group 2,873,1058,507.06
180,005,3,100050507063,Block Group 3,54,79,507.06
181,005,2,100050512012,Block Group 2,653,1391,512.01
166,003,1,100030028001,Block Group 1,1365,1057,28
167,003,2,100030028002,Block Group 2,552,344,28
168,003,3,100030148093,Block Group 3,1020,390,148.09
169,003,1,100030148091,Block Group 1,4318,1862,148.09
170,003,2,100030148092,Block Group 2,2346,843,148.09
171,003,1,100030149081,Block Group 1,2209,1107,149.08
172,003,2,100030169042,Block Group 2,1521,599,169.04
173,003,1,100030169041,Block Group 1,2590,0,169.04
174,003,2,100030168042,Block Group 2,918,227,168.04
175,003,1,100030168041,Block Group 1,5910,1972,168.04
176,003,2,100030166082,Block Group 2,2446,853,166.08
177,003,2,100030149092,Block Group 2,1847,816,149.09
178,005,1,100050507061,Block Group 1,579,825,507.06
129,003,1,100030101041,Block Group 1,2039,1008,101.04
130,003,2,100030101042,Block Group 2,1383,732,101.04
131,003,1,100030158021,Block Group 1,906,289,158.02
132,003,2,100030158022,Block Group 2,1510,501,158.02
133,005,1,100050512031,Block Group 1,468,950,512.03
134,005,4,100050512034,Block Group 4,210,1029,512.03
135,005,3,100050512033,Block Group 3,83,206,512.03
136,005,2,100050512032,Block Group 2,79,229,512.03
137,005,1,100050512021,Block Group 1,782,1260,512.02
138,005,2,100050512022,Block Group 2,144,585,512.02
139,005,1,100050512041,Block Group 1,263,884,512.04
140,005,3,100050512043,Block Group 3,107,1246,512.04
141,005,4,100050512044,Block Group 4,274,612,512.04
142,003,2,100030163052,Block Group 2,2430,975,163.05
143,003,1,100030163051,Block Group 1,3804,1494,163.05
144,003,3,100030163053,Block Group 3,1257,507,163.05
145,003,1,100030164041,Block Group 1,1249,396,164.04
151,003,1,100030026001,Block Group 1,790,287,26
152,003,3,100030026003,Block Group 3,1144,441,26
153,003,3,100030023003,Block Group 3,1216,539,23
146,003,2,100030164042,Block Group 2,864,406,164.04
147,003,3,100030164043,Block Group 3,875,352,164.04
148,003,2,100030148102,Block Group 2,2311,814,148.10
149,003,1,100030148101,Block Group 1,2471,876,148.10
150,003,3,100030148103,Block Group 3,2279,924,148.10
203,005,1,100050511021,Block Group 1,299,848,511.02
204,005,2,100050511022,Block Group 2,542,915,511.02
205,005,3,100050511023,Block Group 3,323,544,511.02
206,005,2,100050510062,Block Group 2,1461,1157,510.06
207,005,1,100050510061,Block Group 1,1263,1142,510.06
182,005,1,100050512011,Block Group 1,614,1451,512.01
183,003,1,100030155021,Block Group 1,2051,785,155.02
184,003,2,100030155022,Block Group 2,797,301,155.02
185,005,2,100050512042,Block Group 2,66,308,512.04
186,005,1,100050507041,Block Group 1,2091,1569,507.04
187,005,2,100050507042,Block Group 2,1840,1424,507.04
188,005,2,100050507032,Block Group 2,1048,888,507.03
189,005,1,100050507031,Block Group 1,988,677,507.03
190,005,1,100050504081,Block Group 1,2780,1187,504.08
191,005,2,100050504082,Block Group 2,1692,630,504.08
192,005,2,100050504052,Block Group 2,1876,873,504.05
193,005,1,100050504051,Block Group 1,1837,805,504.05
194,005,3,100050513063,Block Group 3,500,898,513.06
195,005,1,100050513061,Block Group 1,1323,1011,513.06
196,005,2,100050513062,Block Group 2,603,1104,513.06
197,005,2,100050513052,Block Group 2,550,643,513.05
198,005,1,100050513051,Block Group 1,1251,1236,513.05
199,005,3,100050513053,Block Group 3,961,542,513.05
200,005,2,100050512052,Block Group 2,342,878,512.05
201,005,1,100050512051,Block Group 1,357,963,512.05
202,005,2,100050511012,Block Group 2,182,804,511.01
220,003,1,100030139031,Block Group 1,3232,1117,139.03
221,003,2,100030139032,Block Group 2,1751,554,139.03
222,003,3,100030136153,Block Group 3,1414,906,136.15
223,003,1,100030136151,Block Group 1,1653,846,136.15
224,003,2,100030136152,Block Group 2,643,246,136.15
239,005,1,100050501041,Block Group 1,1188,470,501.04
240,005,3,100050501043,Block Group 3,1014,352,501.04
241,005,1,100050504071,Block Group 1,1402,609,504.07
225,003,2,100030136142,Block Group 2,2368,1036,136.14
226,003,1,100030136141,Block Group 1,764,313,136.14
227,003,2,100030019022,Block Group 2,1262,744,19.02
228,003,1,100030019021,Block Group 1,656,288,19.02
229,003,1,100030030021,Block Group 1,372,152,30.02
230,003,2,100030030022,Block Group 2,700,286,30.02
231,003,3,100030030023,Block Group 3,2203,272,30.02
232,003,3,100030105023,Block Group 3,796,345,105.02
233,003,1,100030105021,Block Group 1,1022,445,105.02
234,003,5,100030105025,Block Group 5,1148,522,105.02
235,003,2,100030105022,Block Group 2,1193,560,105.02
236,003,4,100030105024,Block Group 4,1420,838,105.02
237,005,3,100050511013,Block Group 3,323,683,511.01
