OBJECTID,COUNTYFP10,GEOID10,COUNTY,TRACT,BLOCK,TOTAL_HOUSING_UNITS,OCCUPIED,VACANT,ACRES,SHAPEAREA,SHAPELEN
1,005,100050508021019,005,050802,1019,4,3,1,2.339852,9469.045364,441.636542
2,005,100050508034014,005,050803,4014,0,0,0,297.13224,1202451.514456,4924.802799
3,005,100050508034032,005,050803,4032,3,3,0,480.864136,1945988.116136,7049.502054
4,005,100050508021043,005,050802,1043,2,2,0,91.044369,368443.489363,2651.600541
5,005,100050508031045,005,050803,1045,19,13,6,72.992095,295388.528789,2878.10115
6,005,100050508022029,005,050802,2029,3,3,0,102.028341,412894.046214,2894.761108
7,005,100050508011007,005,050801,1007,0,0,0,57.787061,233855.938544,3971.960037
8,005,100050508021004,005,050802,1004,5,1,4,2.644347,10701.291914,436.123351
9,005,100050508032027,005,050803,2027,15,11,4,14.304993,57890.251402,1084.51649
10,005,100050508032037,005,050803,2037,16,15,1,13.982558,56585.406401,1064.46534
11,005,100050508032005,005,050803,2005,0,0,0,218.231857,883152.992997,15613.75736
12,005,100050508011015,005,050801,1015,32,30,2,410.402173,1660838.67115,6159.564104
13,005,100050508012018,005,050801,2018,8,7,1,1.327565,5372.463891,349.935289
14,005,100050508012046,005,050801,2046,1,1,0,30.064776,121667.833629,1804.369289
15,005,100050508033026,005,050803,3026,12,4,8,3.255068,13172.794386,474.157436
16,005,100050513021008,005,051302,1008,0,0,0,1.623579,6570.392199,325.863411
17,005,100050515002024,005,051500,2024,0,0,0,4.633945,18752.911866,641.121489
18,005,100050515003042,005,051500,3042,11,9,2,138.464161,560344.57723,5606.874354
19,005,100050515003055,005,051500,3055,4,3,1,15.45957,62562.65979,1188.196081
20,005,100050515002037,005,051500,2037,11,9,2,209.279432,846923.813686,4046.513744
21,005,100050513021034,005,051302,1034,5,3,2,63.663103,257635.438083,2086.26192
22,005,100050513022054,005,051302,2054,2,2,0,22.524538,91153.57058,1208.546391
23,005,100050513022058,005,051302,2058,28,26,2,440.237582,1781578.287073,7073.008288
24,005,100050515002057,005,051500,2057,8,8,0,3.511804,14211.767589,497.189347
25,005,100050513021047,005,051302,1047,17,14,3,152.74062,618119.359897,3311.574061
26,005,100050513021017,005,051302,1017,0,0,0,46.023283,186249.620362,2573.943801
27,005,100050513022015,005,051302,2015,0,0,0,110.628518,447697.727264,3503.773124
28,005,100050513011053,005,051301,1053,11,9,2,7.770759,31447.144094,783.282688
29,005,100050513012039,005,051301,2039,7,4,3,163.70048,662472.339232,3140.482744
30,005,100050505011049,005,050501,1049,11,11,0,395.12669,1599020.981292,6482.536469
31,005,100050519002037,005,051900,2037,9,9,0,565.542568,2288669.572287,7996.484134
32,005,100050518011020,005,051801,1020,1,1,0,16.003089,64762.203411,4380.946017
33,005,100050519002107,005,051900,2107,0,0,0,2.923996,11832.992561,886.822001
34,005,100050517011036,005,051701,1036,0,0,0,16.446162,66555.258215,1512.13623
35,005,100050517012098,005,051701,2098,9,9,0,17.693077,71601.343853,1016.584171
36,005,100050519002043,005,051900,2043,0,0,0,11.400744,46137.174014,3226.139747
37,005,100050518011038,005,051801,1038,0,0,0,41.538707,168101.181528,1888.816956
38,005,100050517012056,005,051701,2056,0,0,0,5.987181,24229.262222,1693.518003
39,005,100050517023070,005,051702,3070,1,1,0,13.052498,52821.584955,1488.610731
40,005,100050519001026,005,051900,1026,14,12,2,500.630268,2025978.816952,6192.187071
41,005,100050518012087,005,051801,2087,0,0,0,0.619159,2505.645934,650.539197
42,005,100050518011014,005,051801,1014,4,4,0,169.980559,687886.916054,5179.386007
43,005,100050518012090,005,051801,2090,17,16,1,15.303039,61929.203507,2262.070232
44,005,100050517012113,005,051701,2113,0,0,0,6.253338,25306.361505,1689.821167
45,005,100050501051072,005,050105,1072,17,16,1,23.816097,96380.327055,1976.970769
46,005,100050502002102,005,050200,2102,7,7,0,456.831824,1848732.800616,8195.356497
47,005,100050501032119,005,050103,2119,0,0,0,20.933747,84715.867414,3881.933254
48,005,100050501031036,005,050103,1036,0,0,0,2.629974,10643.125423,371.667066
49,005,100050502002023,005,050200,2023,15,12,3,9.60445,38867.831856,993.077186
50,005,100050501052005,005,050105,2005,13,13,0,17.868058,72309.46402,1018.060364
51,005,100050502001024,005,050200,1024,1,1,0,42.130731,170497.020559,2254.767829
52,005,100050501051063,005,050105,1063,0,0,0,9.980529,40389.767673,1421.672461
53,005,100050502001046,005,050200,1046,1,0,1,447.409989,1810603.986714,5521.481702
